Source,Target,Type,Weight
6,2579,Directed,2
6,2580,Directed,2
6,1890,Directed,2
6,2581,Directed,2
6,2582,Directed,2
6,2583,Directed,2
6,2589,Directed,2
6,2590,Directed,2
6,2591,Directed,2
6,2592,Directed,2
100,2613,Directed,2
100,2614,Directed,2
100,2615,Directed,2
6,2613,Directed,2
6,2614,Directed,2
6,2615,Directed,2
100,1440,Directed,3
100,1405,Directed,3
100,2644,Directed,2
6,2644,Directed,2
12,2648,Directed,2
12,1622,Directed,2
100,2663,Directed,2
6,2663,Directed,2
100,2665,Directed,2
6,2665,Directed,2
12,2666,Directed,2
12,2667,Directed,2
100,2092,Directed,2
100,2330,Directed,2
100,2696,Directed,2
100,1406,Directed,2
100,2697,Directed,2
100,1987,Directed,2
100,2567,Directed,2
100,2698,Directed,2
100,2700,Directed,2
100,2701,Directed,2
6,2700,Directed,2
6,2701,Directed,2
100,2722,Directed,2
100,2723,Directed,2
100,2381,Directed,2
100,2724,Directed,2
6,2722,Directed,2
6,2723,Directed,2
6,2381,Directed,2
6,2724,Directed,2
12,2733,Directed,2
12,2734,Directed,2
6,1776,Directed,2
6,2322,Directed,2
12,2748,Directed,2
12,2749,Directed,2
12,2750,Directed,2
6,2627,Directed,2
100,2754,Directed,2
100,2755,Directed,2
6,2754,Directed,2
6,2755,Directed,2
100,2763,Directed,2
100,2765,Directed,2
6,2774,Directed,2
100,1964,Directed,2
12,2775,Directed,2
12,2776,Directed,2
100,2777,Directed,2
100,2778,Directed,2
100,2779,Directed,2
100,2767,Directed,2
100,2781,Directed,2
100,2782,Directed,2
100,2783,Directed,2
100,2784,Directed,2
6,2777,Directed,2
6,2778,Directed,2
6,2779,Directed,2
6,2767,Directed,2
6,2781,Directed,2
6,2782,Directed,2
6,2783,Directed,2
6,2784,Directed,2
100,2813,Directed,2
100,2816,Directed,2
100,2817,Directed,2
100,2818,Directed,2
6,2816,Directed,2
6,2817,Directed,2
6,2818,Directed,2
6,2819,Directed,2
100,2822,Directed,2
