edge_id,from_id,to_id,nums
315,209,466,2
316,209,467,2
317,209,468,2
318,209,469,2
319,209,470,2
320,209,471,2
321,677,488,2
322,678,488,2
323,685,493,2
324,685,494,2
325,685,495,2
326,691,496,2
327,691,497,2
328,691,498,2
329,692,499,2
330,694,500,2
331,696,500,2
332,697,501,2
333,697,502,2
334,697,503,2
335,697,504,2
336,697,505,2
337,703,506,2
338,703,507,2
339,703,508,2
340,703,509,2
341,717,516,2
342,719,516,2
343,724,517,2
344,726,519,2
345,726,407,3
346,726,520,2
347,726,521,3
348,726,522,2
349,730,519,2
350,730,407,3
351,730,520,2
352,730,521,3
353,730,522,2
354,732,523,2
355,733,523,2
356,734,523,2
357,743,531,2
358,743,532,2
359,743,533,2
360,748,534,2
361,773,549,2
362,773,550,2
363,784,554,2
364,784,555,2
365,365,559,2
366,789,560,2
367,789,561,2
368,791,560,2
369,791,561,2
370,794,562,2
371,151,563,2
372,797,563,2
373,798,563,2
374,800,563,2
375,801,563,2
376,802,563,2
377,807,567,2
378,809,567,2
379,365,568,2
380,365,569,2
381,644,568,2
382,644,569,2
383,57,570,2
384,41,571,2
385,41,572,2
386,41,573,2
387,41,574,2
388,818,575,2
389,821,577,2
390,821,578,2
391,826,579,2
392,826,580,2
393,827,579,2
394,827,580,2
395,829,579,2
396,829,580,2
397,835,581,2
398,835,582,2
399,835,583,2
400,835,584,2
401,835,87,2
402,151,585,2
403,837,585,2
404,842,588,2
405,842,589,2
406,849,594,2
407,849,17,2
408,849,407,2
409,160,599,2
410,160,458,2
411,160,308,2
412,160,600,2
413,858,601,2
414,882,614,2
415,886,616,2
416,894,620,2
417,894,621,2
418,894,622,2
419,894,623,2
420,894,624,2
421,903,630,2
422,905,631,2
423,374,631,2
424,569,36,2
425,569,15,2
426,569,570,2
427,926,649,2
428,829,649,2
429,927,649,2
430,929,649,2
431,827,650,2
432,934,314,2
433,935,654,2
434,935,458,2
435,935,655,2
436,937,654,2
437,937,458,2
438,937,655,2
439,938,654,2
440,938,458,2
441,938,655,2
442,941,656,2
443,941,657,2
444,946,658,2
445,946,659,2
446,946,660,2
447,950,661,2
448,950,662,2
449,950,663,2
450,950,664,2
451,954,665,2
452,954,666,2
453,954,667,2
454,954,668,2
455,954,669,2
456,954,670,2
457,954,671,2
458,954,672,2
459,954,673,2
460,954,674,2
461,954,675,2
462,954,676,2
463,954,677,2
464,961,665,2
465,961,666,2
466,961,667,2
467,961,668,2
468,961,669,2
469,961,670,2
470,961,671,2
471,961,672,2
472,961,673,2
473,961,674,2
474,961,675,2
475,961,676,2
476,961,677,2
477,966,665,2
478,966,666,2
479,966,667,2
480,966,668,2
481,966,669,2
482,966,670,2
483,966,671,2
484,966,672,2
485,966,673,2
486,966,674,2
